"location","area","unit","bedrooms","bathrooms_w_cs","floor_area","no_of_floors","car_parking_spaces","availability","price","district"
"rajagiriya",6,"perches","3",NA,1500,NA,"None","Available now",35,"Colombo"
"colombo 5",20,"perches","5",5,NA,2,"2","Available now",300,"Colombo"
"colombo 5",8,"perches","4",3,2750,2,"1","Available now",70,"Colombo"
"colombo 3",10,"perches","4",3,3200,2,"2","Available now",210,"Colombo"
"padukka",153,"perches","5",5,5200,3,"6","Available now",70,"Colombo"
"maharagama",9.15,"perches","5",3,1800,2,"2","Available now",26.5,"Colombo"
"colombo 7",40,"perches","5",4,7500,NA,"None","Available now",800,"Colombo"
"bandaragama",12.5,"perches","3",4,1850,2,"2","Available now",21.5,"Kalutara"
"negombo",NA,NA,"3",NA,NA,2,"None","Available soon",28.5,"Gampaha"
"boralesgamuwa",6.7,"perches","3",3,2517,2,"2","For Urgent Sale",36.85,"Colombo"
"kahatuduwa",6.5,"perches","3",2,1365,2,"2","Available soon",20.1,"Colombo"
"malabe",21,"perches","above 5",NA,NA,NA,"2","Available now",65,"Colombo"
"malabe",12.5,"perches","5",4,4000,NA,"None","Available now",65,"Colombo"
"dalugama",6.6,"perches","3",3,1900,2,"2","Available soon",33.5,"Colombo"
"maharagama",92,"perches","4",5,4300,2,"6","Available now",150,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"2","Available now",49.5,"Colombo"
"rajagiriya",6,"perches","3",2,1600,1,"2","Available now",30,"Colombo"
"boralesgamuwa",10,"perches","3",2,2000,1,"2","Available now",21,"Colombo"
"moratuwa",8,"perches","4",3,2500,2,"2","Available now",22,"Colombo"
"thalawathugoda",10,"perches","4",4,4200,2,"2","Available now",49.5,"Colombo"
"kurunegala",43,"perches","4",2,2200,2,"6","Available now",22.5,"Kurunegala"
"thalahena",52,"perches","5",4,10000,3,"6","Available now",95,"Colombo"
"colombo 3",51,"perches","above 5",5,10000,3,"6","Available now",NA,"Colombo"
"thalawathugoda",7,"perches","3",2,3300,3,"2","Available now",40,"Colombo"
"pamunugama",106.6,"perches","above 5",9,7758,4,"3","Available now",165,"Gampaha"
"thalawathugoda",8.1,"perches","4",3,2900,2,"2","Available now",43,"Colombo"
"malabe",12.5,"perches","5",4,4000,2,"2","Available now",65,"Colombo"
"mirihana",11.5,"perches","4",3,2700,NA,"2","Available now",66,"Colombo"
"homagama",10,"perches","5",3,3000,7,"2","Available now",24.8,"Colombo"
"athurugiriya",7,"perches","3",2,1700,2,"1","Available now",15,"Colombo"
"moratuwa",8,"perches","5",4,3750,3,"2","Available now",17,"Colombo"
"attidiya",12.06,"perches","4",3,3000,2,"2","Available now",65,"Colombo"
"colombo 5",7.4,"perches","4",3,3200,3,"3","Available now",95,"Colombo"
"mattegoda",NA,NA,"above 5",3,4000,NA,"None","Available now",37,"Colombo"
"piliyandala",10,"perches","4",3,4000,3,"2","Available now",38,"Colombo"
"thalawathugoda",NA,NA,"4",3,NA,NA,"None","Available now",105,"Colombo"
"marawila",123,"perches","above 5",8,4500,2,"6","Available now",40,"Puttalam"
"kolonnawa",10.3,"perches","above 5",6,4000,2,"5","Available now",65,"Colombo"
"dehiwala",10.8,"perches","4",2,2200,2,"6","For Urgent Sale",54,"Colombo"
"colombo 7",NA,NA,"above 5",NA,NA,NA,"None","Available now",NA,"Colombo"
"palanwaththa",24,"perches","above 5",5,14000,3,"None","Available now",180,"Colombo"
"maharagama",13,"perches","4",4,3000,2,"6","Available now",39,"Colombo"
"kottawa",7,"perches","4",3,1950,2,"3","Available now",18.5,"Colombo"
"kaduwela",60,"perches","4",3,3000,2,"2","Available now",25,"Colombo"
"makola",16.5,"perches","3",1,1000,NA,"None","Available now",9.57,"Gampaha"
"ahungalla",64,"perches","above 5",6,2000,2,"5","Available now",50,"Galle"
"kalubowila",11.4,"perches","3",2,NA,1,"3","Available now",35,"Colombo"
"kiribathgoda",13,"perches","5",3,3000,2,"None","Available now",26,"Colombo"
"kandy",NA,NA,"5",5,NA,NA,"None","Available now",75,"Kandy"
"ratnapura",30.1,"perches","3",1,1000,1,"6","Available now",6.8,"Ratnapura"
"negombo",28,"perches","5",3,4000,2,"3","Available now",55,"Gampaha"
"colombo 5",11,"perches","3",3,4500,3,"2","Available now",100,"Colombo"
"battaramulla",27,"perches","5",4,5500,2,"4","Available now",124,"Colombo"
"kiribathgoda",38,"perches","4",4,2500,1,"2","Available now",1.85,"Colombo"
"colombo 5",10,"perches","5",3,3000,2,"2","Price Reduced!",110,"Colombo"
"pita kotte",10,"perches","4",3,3000,2,"2","For Urgent Sale",37.5,"Colombo"
"colombo 5",20,"perches","above 5",5,5000,2,"6","Price Reduced!",230,"Colombo"
"colombo 8",38,"perches","4",5,4000,2,"4","For Urgent Sale",380,"Colombo"
"colombo 5",7.8,"perches","5",NA,NA,NA,"3","For Urgent Sale",98,"Colombo"
"thalawathugoda",11,"perches","5",4,NA,3,"3","For Urgent Sale",42.5,"Colombo"
"colombo 5",10,"perches","5",3,3000,2,"2","For Urgent Sale",120,"Colombo"
"colombo 5",29.26,"perches","4",3,4700,2,"2","Available now",195,"Colombo"
"colombo 8",12,"perches","5",5,NA,3,"None","Available now",225,"Colombo"
"thalawathugoda",10,"perches","4",3,NA,2,"2","Available now",49.5,"Colombo"
"thalawathugoda",30,"perches","5",6,10300,3,"4","For Urgent Sale",215,"Colombo"
"nugegoda",15,"perches","5",5,4800,3,"3","Available now",145,"Colombo"
"battaramulla",26.7,"perches","5",4,4800,2,"4","For Urgent Sale",120,"Colombo"
"koswatta",9.8,"perches","4",3,4500,2,"2","Available now",80,"Colombo"
"ethul kotte",10,"perches","4",4,3500,2,"4","Available now",95,"Colombo"
"negombo",31,"perches","4",1,4500,1,"3","Available now",33,"Gampaha"
"thalawathugoda",21,"perches","4",1,1750,1,"4","Available now",48.3,"Colombo"
"koswatta",9.8,"perches","4",3,4500,2,"2","Available now",80,"Colombo"
"colombo 5",8.5,"perches","5",5,4600,4,"3","Available now",165,"Colombo"
"delkanda",NA,NA,"2",1,NA,NA,"None","Available now",6.2,"Colombo"
"kandana",10.6,"perches","4",2,1895,2,"None","Available now",23,"Gampaha"
"colombo 6",7.3,"perches","3",2,2200,NA,"3","Available now",75,"Colombo"
"negombo",22.7,"perches","3",2,3000,NA,"4","Available now",40,"Gampaha"
"wattala",NA,NA,"2",1,NA,NA,"1","Available now",4.3,"Gampaha"
"habarana",120,"perches","3",NA,NA,1,"1","Available now",8,"Anuradhapura"
"dehiwala",6.2,"perches","3",1,1800,NA,"2","Available now",25,"Colombo"
"kadana",NA,NA,"2",1,NA,NA,"None","Available now",3.3,"Gampaha"
"kadana",NA,NA,"3",1,NA,NA,"2","Available now",13,"Gampaha"
"wattala",NA,NA,"4",3,NA,NA,"3","Available now",27.5,"Gampaha"
"thalawathugoda",NA,NA,"4",4,3700,NA,"None","Available now",51,"Colombo"
"rajagiriya",6,"perches","3",2,1600,1,"2","Available now",30,"Colombo"
"akuregoda",19,"perches","4",4,11000,NA,"2","Available now",100,"Colombo"
"koswatta",6,"perches","3",3,2000,2,"2","Available now",28.5,"Colombo"
"kadana",NA,NA,"4",2,NA,NA,"3","Available now",17.5,"Gampaha"
"colombo 5",27,"perches","above 5",5,NA,NA,"5","Available now",435.66,"Colombo"
"thalawathugoda",10,"perches","4",4,3500,2,"2","Available now",49.5,"Colombo"
"kottawa",10,"perches","5",3,3500,NA,"None","Available now",27,"Colombo"
"nugegoda",6,"perches","4",2,2500,NA,"None","Available now",22.5,"Colombo"
"malabe",10.5,"perches","4",3,NA,NA,"2","Available now",25,"Colombo"
