,Property Type:,Bedrooms:,Bathrooms/WCs:,Floor area:,No. of floors:,Car parking spaces:,Area of land:,Availability:,Nearest bus stop:,Nearest train station:,Price,Location
0,House,3,,1500 sq.ft.,,,6 perches,"
Available now ",,,Rs. 35M     ,Rajagiriya
1,House,5,5.0,,2.0,2.0,20 perches,"
Available now ",,,Rs. 300M     ,Colombo 5
2,House,4,3.0,2750 sq.ft.,2.0,1.0,8 perches,"
Available now ",,,Rs. 70M     ,Colombo 5
3,House,4,3.0,3200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 210M     ,Colombo 3
4,House,5,5.0,5200 sq.ft.,3.0,6.0,153 perches,"
Available now ",,,Rs. 70M     ,Padukka
5,House,5,3.0,1800 sq.ft.,2.0,2.0,9.15 perches,"
Available now ",200m,2km,Rs. 26.5M ONO   ,Maharagama
6,House,5,4.0,7500 sq.ft.,,,40 perches,"
Available now ",,,Rs. 800M     ,Colombo 7
7,House,3,4.0,1850 sq.ft.,2.0,2.0,12.5 perches,"
Available now ",,,Rs. 21.5M     ,Bandaragama
8,House,3,,,2.0,,,"
Available soon ",,,Rs. 28.5M upwards   ,Negombo
9,House,3,3.0,2517 sq.ft.,2.0,2.0,6.70 perches,"
For Urgent Sale ",200m,7km,Rs. 36.85M     ,Boralesgamuwa
10,House,3,2.0,1365 sq.ft.,2.0,2.0,6.5 perches,"
Available soon ",950m,,Rs. 20.1M upwards   ,Kahatuduwa
11,House,above 5,,,,2.0,21 perches,"
Available now ",,,Rs. 65M ONO   ,Malabe
12,House,5,4.0,4000 sq.ft.,,,12.5 perches,"
Available now ",,,Rs. 65M     ,Malabe
13,House,3,3.0,1900 sq.ft.,2.0,2.0,6.60 perches,"
Available soon ",300m,3km,Rs. 33.5M upwards   ,Dalugama
14,House,4,5.0,4300 sq.ft.,2.0,6.0,92 perches,"
Available now ",,,Rs. 150M     ,Maharagama
15,House,4,4.0,4200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 49.5M ONO   ,Thalawathugoda
16,House,3,2.0,1600 sq.ft.,1.0,2.0,6 perches,"
Available now ",,,Rs. 30M ONO   ,Rajagiriya
17,House,3,2.0,2000 sq.ft.,1.0,2.0,10 perches,"
Available now ",400m,,Rs. 21M     ,Boralesgamuwa
18,House,4,3.0,2500 sq.ft.,2.0,2.0,8 perches,"
Available now ",1km,4km,Rs. 22M ONO   ,Moratuwa
19,House,4,4.0,4200 sq.ft.,2.0,2.0,10 perches,"
Available now ",,,Rs. 49.5M     ,Thalawathugoda
20,House,4,2.0,2200 sq.ft.,2.0,6.0,43 perches,"
Available now ",100m,2km,Rs. 22.5M ONO   ,Kurunegala
21,House,5,4.0,10000 sq.ft.,3.0,6.0,52 perches,"
Available now ",,,Rs. 95M     ,Thalahena
22,House,above 5,5.0,10000 sq.ft.,3.0,6.0,51 perches,"
Available now ",,,    ,Colombo 3
23,House,3,2.0,3300 sq.ft.,3.0,2.0,7 perches,"
Available now ",,,Rs. 40M approx   ,Thalawathugoda
24,House,above 5,9.0,7758 sq.ft.,4.0,3.0,106.6 perches,"
Available now ",1km,,Rs. 165M     ,Pamunugama
25,House,4,3.0,2900 sq.ft.,2.0,2.0,8.1 perches,"
Available now ",,,Rs. 43M     ,Thalawathugoda
26,House,5,4.0,4000 sq.ft.,2.0,2.0,12.5 perches,"
Available now ",,5km,Rs. 65M ONO   ,Malabe
27,House,4,3.0,2700 sq.ft.,,2.0,11.5 perches,"
Available now ",300km,,Rs. 66M ONO   ,Mirihana
28,House,5,3.0,3000 sq.ft.,7.0,2.0,10 perches,"
Available now ",10m,200m,Rs. 24.8M ONO   ,Homagama
29,House,3,2.0,1700 sq.ft.,2.0,1.0,7 perches,"
Available now ",,,Rs. 15M     ,Athurugiriya
30,House,5,4.0,3750 sq.ft.,3.0,2.0,8 perches,"
Available now ",1.7km,4km,Rs. 17M ONO   ,Moratuwa
31,House,4,3.0,3000 sq.ft.,2.0,2.0,12.06 perches,"
Available now ",500m,,Rs. 65M     ,Attidiya
32,House,4,3.0,3200 sq.ft.,3.0,3.0,7.4 perches,"
Available now ",,,Rs. 95M     ,Colombo 5
33,House,above 5,3.0,4000 sq.ft.,,,,"
Available now ",,,Rs. 37M     ,Mattegoda
34,House,4,3.0,4000 sq.ft.,3.0,2.0,10 perches,"
Available now ",0.2km,7km,Rs. 38M ONO   ,Piliyandala
35,House,4,3.0,,,,,"
Available now ",,,Rs. 105M     ,Thalawathugoda
36,House,above 5,8.0,4500 sq.ft.,2.0,6.0,123 perches,"
Available now ",1km,3km,Rs. 40M     ,Marawila
37,House,above 5,6.0,4000 sq.ft.,2.0,5.0,10.3 perches,"
Available now ",100m,,Rs. 65M     ,Kolonnawa
38,House,4,2.0,2200 sq.ft.,2.0,6.0,10.80 perches,"
For Urgent Sale ",200m,,Rs. 54M ONO   ,Dehiwala
39,House,above 5,,,,,,"
Available now ",,,    ,Colombo 7
40,House,above 5,5.0,14000 sq.ft.,3.0,,24 perches,"
Available now ",,,Rs. 180M     ,Palanwaththa
41,House,4,4.0,3000 sq.ft.,2.0,6.0,13 perches,"
Available now ",50m,500m,Rs. 39M ONO   ,Maharagama
42,House,4,3.0,1950 sq.ft.,2.0,3.0,7 perches,"
Available now ",,,Rs. 18.5M ONO   ,Kottawa
43,House,4,3.0,3000 sq.ft.,2.0,2.0,60 perches,"
Available now ",,,Rs. 25M     ,Kaduwela
